 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Methyl acrylate,C4H6O2,86.03677944,5,7294,HMDB0033977,,C19443,,73137,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Ethenyl acetate,C4H6O2,86.03677944,5,7904,HMDB0031209,,C19309,,,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,But-2-enoic acid;Isocrotonic acid;but-2-enoic acid,C4H6O2,86.03677944,5,637090;643792;19499,HMDB0010720;HMDB0034439;,LMFA01030195;LMFA01030194;LMFA01030925,C01771;;,  ,;34860;,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Diacetyl,C4H6O2,86.03677944,5,650,HMDB0003407,LMFA12000012,C00741,,6921,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Oxolan-3-one,C4H6O2,86.03677944,5,529392,HMDB0002523,,,,6710,-1
7,85.02901093,85.0205,85.03224631,25.389333,22.95348297,38.79596159,378,253,118,263.7684158,189.5259127,118.8495829,,,9,1,0,1,1,0,85.02901093,Gamma-Butyrolactone,C4H6O2,86.03677944,5,7302,HMDB0000549,LMFA07040004,C01770,,,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,"2-Propenoic acid, 3-hydroxy-, (2Z)-",C3H4O3,88.01604399,8,,,,,,330427,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,Methyl oxoacetate,C3H4O3,88.01604399,8,,,,,,328628,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,"1,3-Dioxolan-2-one",C3H4O3,88.01604399,8,,,,,,287579,-1
8,87.0079779,87,87.0093651,24.74808227,22.08603514,43.2069839,378,255,118,512.0293155,385.6104855,362.9257929,,,9,1,0,1,1,0,87.0079779,2-Oxopropanoic acid,C3H4O3,88.01604399,8,,,,,,269367,-1
